"PK_PRODUNITID"|"FK_SUPPLIERID"|"FK_PRODUCTID"|"UPC_CODE"|"INVENTORY_CODE"|"PRICE"|"VOLUME"|"SHIPWEIGHT"|"SHIPHEIGHT"|"SHIPWIDTH"|"SHIPLENGTH"|"VOLUMESALE"|"VOLUMEUNIT"|"DATEMODIFIED"|"DATECREATED"|"STATUS"
"58"|"0"|"16"||"#1007C"|"6"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 17:16:10"|"2008-08-18 15:16:10"|"active"
"59"|"0"|"16"||"#1007C"|"5.75"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 17:16:43"|"2008-08-18 15:16:43"|"active"
"60"|"0"|"16"||"#1007"|"23"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:16:56"|"2008-08-18 15:16:56"|"active"
"61"|"0"|"16"||"#1007A"|"21"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:17:19"|"2008-08-18 15:17:19"|"active"
"62"|"0"|"16"||"#1007B"|"103.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 17:18:06"|"2008-08-18 15:18:06"|"active"
"63"|"0"|"17"||"#1035C"|"7"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 17:18:27"|"2008-08-18 15:18:27"|"active"
"64"|"0"|"17"||"#1035C"|"6.75"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 17:18:50"|"2008-08-18 15:18:50"|"active"
"65"|"0"|"17"||"#1035"|"29"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:19:06"|"2008-08-18 15:19:06"|"active"
"66"|"0"|"17"||"#1035A"|"27"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:19:25"|"2008-08-18 15:19:25"|"active"
"67"|"0"|"17"||"#1035B"|"133.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 17:19:53"|"2008-08-18 15:19:53"|"active"
"68"|"0"|"18"||"#1006C"|"6"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 17:20:11"|"2008-08-18 15:20:11"|"active"
"69"|"0"|"18"||"#1006C"|"5.75"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 17:20:26"|"2008-08-18 15:20:26"|"active"
"70"|"0"|"18"||"#1006"|"22"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:20:46"|"2008-08-18 15:20:46"|"active"
"71"|"0"|"18"||"#1006A"|"20"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:20:59"|"2008-08-18 15:20:59"|"active"
"72"|"0"|"18"||"#1006B"|"98.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 17:21:19"|"2008-08-18 15:21:19"|"active"
"73"|"0"|"19"||"#1042C"|"13"|"32"|"0"|"0"|"3.25"|"3.25"|"1"|"o.z."|"2008-08-18 17:21:50"|"2008-08-18 15:21:50"|"active"
"74"|"0"|"19"||"#1042C"|"12.75"|"32"|"0"|"0"|"0"|"0"|"6"|"o.z."|"2008-08-18 17:22:13"|"2008-08-18 15:22:13"|"active"
"75"|"0"|"19"||"#1042"|"40"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:22:33"|"2008-08-18 15:22:33"|"active"
"76"|"0"|"19"||"#1042A"|"38"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:22:51"|"2008-08-18 15:22:51"|"active"
"77"|"0"|"20"||"#1017C"|"6"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 17:23:42"|"2008-08-18 15:23:42"|"active"
"78"|"0"|"20"||"#1017C"|"5.75"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 17:24:02"|"2008-08-18 15:24:02"|"active"
"79"|"0"|"20"||"#1017"|"24"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:24:25"|"2008-08-18 15:24:25"|"active"
"80"|"0"|"20"||"#1017A"|"22"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:24:43"|"2008-08-18 15:24:43"|"active"
"81"|"0"|"20"||"#1017B"|"108.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 17:25:11"|"2008-08-18 15:25:11"|"active"
"82"|"0"|"21"||"#1011C"|"6.25"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 17:25:36"|"2008-08-18 15:25:36"|"active"
"83"|"0"|"21"||"#1011C"|"6"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 17:25:52"|"2008-08-18 15:25:52"|"active"
"85"|"0"|"21"||"#1011"|"26"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:27:39"|"2008-08-18 15:27:39"|"active"
"86"|"0"|"21"||"#1011A"|"24"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:27:56"|"2008-08-18 15:27:56"|"active"
"87"|"0"|"71"||"#1022C"|"6.25"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 17:36:01"|"2008-08-18 15:36:01"|"active"
"88"|"0"|"71"||"#1022C"|"6"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 17:36:18"|"2008-08-18 15:36:18"|"active"
"89"|"0"|"71"||"#1022"|"27"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:36:37"|"2008-08-18 15:36:37"|"active"
"90"|"0"|"71"||"#1022A"|"25"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:36:58"|"2008-08-18 15:36:58"|"active"
"91"|"0"|"71"||"#1022B"|"123.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 17:37:24"|"2008-08-18 15:37:24"|"active"
"92"|"0"|"22"||"#1013C"|"6.25"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 17:37:54"|"2008-08-18 15:37:54"|"active"
"93"|"0"|"22"||"#1013C"|"6"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 17:38:10"|"2008-08-18 15:38:10"|"active"
"94"|"0"|"22"||"#1013"|"26"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:38:30"|"2008-08-18 15:38:30"|"active"
"95"|"0"|"22"||"#1013A"|"24"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:38:45"|"2008-08-18 15:38:45"|"active"
